size,ms,sort_type,field,listtype,seed
20,0.015000,1,gen,1,111
20,0.007000,1,gen,1,222
20,0.003000,1,gen,1,333
20,0.477000,1,ip,1,111
20,0.003000,1,ip,1,222
20,0.003000,1,ip,1,333
20,0.004000,2,gen,1,111
20,0.003000,2,gen,1,222
20,0.004000,2,gen,1,333
20,0.003000,2,ip,1,111
20,0.006000,2,ip,1,222
20,0.014000,2,ip,1,333
20,0.004000,3,gen,1,111
20,0.004000,3,gen,1,222
20,0.004000,3,gen,1,333
20,0.010000,3,ip,1,111
20,0.004000,3,ip,1,222
20,0.016000,3,ip,1,333
20,0.028000,4,gen,1,111
20,0.135000,4,gen,1,222
20,0.007000,4,gen,1,333
20,0.009000,4,ip,1,111
20,0.008000,4,ip,1,222
20,0.007000,4,ip,1,333
20,0.004000,5,gen,1,111
20,0.006000,5,gen,1,222
20,0.005000,5,gen,1,333
20,0.006000,5,ip,1,111
20,0.005000,5,ip,1,222
20,0.004000,5,ip,1,333
1000,0.890000,1,gen,1,111
1000,0.759000,1,gen,1,222
1000,1.477000,1,gen,1,333
1000,0.827000,1,ip,1,111
1000,0.757000,1,ip,1,222
1000,0.756000,1,ip,1,333
1000,2.588000,2,gen,1,111
1000,2.776000,2,gen,1,222
1000,2.856000,2,gen,1,333
1000,4.524000,2,ip,1,111
1000,2.701000,2,ip,1,222
1000,2.942000,2,ip,1,333
1000,2.593000,3,gen,1,111
1000,2.612000,3,gen,1,222
1000,2.415000,3,gen,1,333
1000,14.548000,3,ip,1,111
1000,2.390000,3,ip,1,222
1000,2.667000,3,ip,1,333
1000,0.481000,4,gen,1,111
1000,0.308000,4,gen,1,222
1000,0.340000,4,gen,1,333
1000,0.326000,4,ip,1,111
1000,0.316000,4,ip,1,222
1000,1.791000,4,ip,1,333
1000,0.144000,5,gen,1,111
1000,0.722000,5,gen,1,222
1000,0.270000,5,gen,1,333
1000,0.235000,5,ip,1,111
1000,0.145000,5,ip,1,222
1000,0.125000,5,ip,1,333
10000,152.133000,1,gen,1,111
10000,169.100000,1,gen,1,222
10000,155.721000,1,gen,1,333
10000,160.455000,1,ip,1,111
10000,144.767000,1,ip,1,222
10000,146.197000,1,ip,1,333
10000,281.301000,2,gen,1,111
10000,287.196000,2,gen,1,222
10000,264.999000,2,gen,1,333
10000,269.638000,2,ip,1,111
10000,255.177000,2,ip,1,222
10000,245.376000,2,ip,1,333
10000,260.911000,3,gen,1,111
10000,269.073000,3,gen,1,222
10000,258.025000,3,gen,1,333
10000,259.574000,3,ip,1,111
10000,277.209000,3,ip,1,222
10000,263.518000,3,ip,1,333
10000,4.743000,4,gen,1,111
10000,8.786000,4,gen,1,222
10000,5.606000,4,gen,1,333
10000,5.629000,4,ip,1,111
10000,10.025000,4,ip,1,222
10000,4.399000,4,ip,1,333
10000,1.974000,5,gen,1,111
10000,2.009000,5,gen,1,222
10000,1.858000,5,gen,1,333
10000,2.856000,5,ip,1,111
10000,1.817000,5,ip,1,222
10000,1.747000,5,ip,1,333
30000,2548.904000,1,gen,1,111
30000,2408.954000,1,gen,1,222
30000,2339.043000,1,gen,1,333
30000,2297.989000,1,ip,1,111
30000,2401.351000,1,ip,1,222
30000,2440.523000,1,ip,1,333
30000,2715.892000,2,gen,1,111
30000,2785.246000,2,gen,1,222
30000,2902.933000,2,gen,1,333
30000,2840.935000,2,ip,1,111
30000,2668.151000,2,ip,1,222
30000,2666.452000,2,ip,1,333
30000,2696.730000,3,gen,1,111
30000,2668.843000,3,gen,1,222
30000,2809.270000,3,gen,1,333
30000,2690.783000,3,ip,1,111
30000,3134.150000,3,ip,1,222
30000,2803.912000,3,ip,1,333
30000,15.930000,4,gen,1,111
30000,16.654000,4,gen,1,222
30000,16.401000,4,gen,1,333
30000,16.386000,4,ip,1,111
30000,16.820000,4,ip,1,222
30000,16.658000,4,ip,1,333
30000,6.012000,5,gen,1,111
30000,6.396000,5,gen,1,222
30000,6.291000,5,gen,1,333
30000,9.916000,5,ip,1,111
30000,7.810000,5,ip,1,222
30000,5.862000,5,ip,1,333
50000,8977.221000,1,gen,1,111
50000,9613.271000,1,gen,1,222
50000,9709.670000,1,gen,1,333
50000,9262.528000,1,ip,1,111
50000,10525.573000,1,ip,1,222
50000,9197.490000,1,ip,1,333
50000,8899.944000,2,gen,1,111
50000,9206.529000,2,gen,1,222
50000,8041.037000,2,gen,1,333
50000,7864.315000,2,ip,1,111
50000,8620.700000,2,ip,1,222
50000,8181.537000,2,ip,1,333
50000,8743.488000,3,gen,1,111
50000,8222.210000,3,gen,1,222
50000,7936.124000,3,gen,1,333
50000,8685.510000,3,ip,1,111
50000,8606.214000,3,ip,1,222
50000,8292.757000,3,ip,1,333
50000,39.947000,4,gen,1,111
50000,36.970000,4,gen,1,222
50000,31.790000,4,gen,1,333
50000,37.855000,4,ip,1,111
50000,42.541000,4,ip,1,222
50000,39.014000,4,ip,1,333
50000,14.195000,5,gen,1,111
50000,16.392000,5,gen,1,222
50000,14.793000,5,gen,1,333
50000,18.971000,5,ip,1,111
50000,11.320000,5,ip,1,222
50000,11.065000,5,ip,1,333
